english,mandarin,pinyin
"If Fernandez is shown the door, the board could either buy out his contract immediately or allow him to serve out his term. Fernandez is set to collect$400, 000 in past sick pay and other benefits on top of his$195, 000 salary.",??????????,?????????????,?????????????????????????????,??????????????????????,rú guo qing fèi er nán dé si zou lù, jiào yù jú ke yi fù qián ma shàng zhong zhi hé yue, huò shì ràng ta zuò man rèn qi? fèi er nán dé si àn gui dìng ke yi zài shí jiu wàn wu de nián xin zhi wài, huán ke yi ling wèi yòng bìng jià huò qí ta fú lì zhé hé xiàn jin sì shí wàn yuán?
Are you mad?,?????,ni feng le ma?
What deuced bad luck!,????!,dao méi si le!
Do you understand?,??????,ni míng bai le ma?
Is the wheel true?,???????,lún zi an zhèng le ma?
That's 5.40 in all.,??5.40??.,zong gòng.40 ying bàng.
God bless you!,??????!,yuàn shàng dì bao yòu ni!
Be you feeling nausea?,???????,ni jué de è xin ma?
You make me sick!,??????!,ni zhen ràng wo è xin!
He tortured his prisoners.,??????,ta kao da fàn rén?
Would you like some melon?,???????,ni yào jí dian gua ma?
He actually refused!,??????!,ta jìng rán jù jué le!
How do I look?,????????,wo kàn shàng qù zen me yàng?
No wonder you were late!,??????!,nán guài ni lái wan le!
Are animals able to think?,???????,dòng wù néng si kao ma?
Are you willing to help?,???????,ni yuàn yì bang máng ma?
Is the water on?,????????,zì lái shui jie tong le ma?
What are you going after?,???????,ni zài zhui qiú shén me?
He is a Master of Science.,???????,ta shì li ke shuò shì?
At a rapid pace; swiftly.,???;???,fei kuài de; xùn sù de
A man short in stature.,???????,zhu rú shen cái ai de rén
May I try it on?,????????,wo néng shì chuan yi xià ma?
Is her schoolwork up to scratch?,???????,ta de gong kè xìng ma?
Night was fast approaching.,??????.,hei yè zhuàn shùn ér zhì.
Use your common sense!,???????!,yòng yòng ni de cháng shí ba!
Basic character; mettle.,????;??,ji ben tè zheng; ben xìng
How much did he leave?,????????,ta yí liú xià duo shao qián?
Marked by pits.,????,????,you keng wa de, you keng dòng de
Is this wall plumb?,????????,zhè qiáng shì chuí zhí de ma?
A happy journey to you!,??????!,zhù nín yi lù píng an!
The ship struck on a rock and sank.,??????,chuán chù jiao chén mò?
"Have I got it right, please?",????????,qing wèn wo gao duì le ma?
What utter rubbish he talks!,??????!,ta wán quán shì hú shuo!
How do you want to change?,???????,ni xiang zen yàng duì huàn?
Jesus taught in parables.,????????,Ye su yi bi yù jiào dao?
How heavy is this box?,????????,zhè gè xiang zi you duo zhòng?
The sun shone kindly.,????????,tài yáng huò? de zhào yào zhuó
Am I correct in supposing so?,????????,wo zhè yàng shè xiang duì ma?
A pleasant journey to you!,??????!,zhù ni yi lù shùn feng!
Burst agonized and clear!,???????!,rú ci tòng qiè ér qing xi!
I'm about to explode!,????????!,wo fèi dou kuài yào qì zhà le!
Small wonder (that) he was so tired!,??????!,nán guài ta zhè mó lèi!
Having been placed; located.,??…??;??,chu yú… jìng dì; wèi yú
"Oh, you're just wonderful!",?,??????!,ó, ni zhen shì tài hào le!
My cabin is on E deck.,?????E???.,wo de cang wèi zàiE céng jia ban.
"Children, please behave (yourselves)!","???, ???!","hái zi men,  gui ju xie!"
How is the new car performing?,????????,xin qì che xìng néng rú hé?
What caused his illness?,????????,shì shén me shi ta sheng bìng?
In response to your inquiry...,???????...,zi dá fù nín de xún wèn...
She moistened her lips with her tongue.,??????.,ta tian shi le zui chún.
Jack and Anne are engaged.,?????????,jié kè huò an ni dìng hun le?
Dick spread out a map.,??????????,Dí kè tan kai le yi fú dì tú?
Fruit trees; fruit growers.,??;?????,guo shù; guo shù zai péi zhe
Nor shady cypress tree.,?????????,ye wú xu bai shù lái yìn fù?
Scratching exacerbates a skin rash.,???????.,pí zhen sao? kuài è huà.
Try to contain your anger!,????????!,shè fa yì zhì ni de nù huo!
Who has spilt/spilled the milk?,?????????,shéi ba niú nai po chu lai le?
How do you want your steak?,?????????,ni de niú pái yào ji fèn shú?
Try to contain your anger!,????????!,shè fa yì zhì ni de nù huo!
He pinched the clay into shape.,????????,ta ba nián tu nie chéng xíng?
There are some reeds in the pond.,????????,chí táng li you xie lú wei?
Draw wells have sweet water.,????????,cháng jí zhi jing yong Gan quán?
Polar distance; polar diameter.,??;?????,jí jù; liang jí de zhí jìng
Acid irritates the stomach lining.,???????.,suan néng cì ji wèi nián mó.
Should the death penalty be abolished?,????????,ying gai fèi chú si xíng ma?
The springtime of life; youth.,?????;??,rén sheng de chu qi; qing chun
It is never too late to mend.,?????????,? yàn? gai guò bù xián wan?
I'm not guessing I know!,?????--???!,wo bú shì cai xiang-- wo zhi dào!
Steer clear of the rocks ahead.,????????,rào guò qián fang de jiao shí?
You are never too old to learn.,?????????,? yàn? xué xí bù xián lao?
Did you get the answer right?,?????????,ni ba jié guo suàn duì le ma?
Children are very fanciful.,????????.,ér tóng dou hen fù yu huàn xiang.
The tower stood amidst the ruins.,????????,ta chù lì zài fèi xu zhòng?
He covered me with a pistol.,????????,ta yòng shou qiang miáo zhun wo?
The cross- talk is on at last!,???????!,zhong yú bo chu xiàng sheng le!
She cannot possibly be so obtuse.,????????.,ta bù ke néng rú ci chí dùn.
Have I guessed right or wrong?,?????????,wo cai de duì bú shì bù duì?
Barren or marginal farmland.,????????,huang wú huò bian yuan de nóng tián
The director shouted `Cut!',??????: ?!,dao yan han le yi sheng:  tíng!
Should the death penalty be abolished?,????????,ying gai fèi chú si xíng ma?
You've combed your hair back.,?????????.,ni yi ba tóu fà shu dào? miàn.
The milk is boiling over.,?????????.,niú nai fèi téng de yì chu lái le.
Please spare (ie don't kill) me!,????(??)?!,qing ráo le wo( yi mìng) ba!
Eddies of mist rose from the valley.,???????.,shan gu zhòng bó wù niao niao.
How does chilli taste?,??????????,là jiao de wèi dao shì zen yàng de?
Is English a compulsory subject?,?????????,Ying yu shì bì xiu ke mù ma?
Have you got a talent for painting?,?????????,ni you huì huà de cái néng ma?
As white as snow is a simile.,????????,jié bái rú xue shì míng yù?
Is anything wrong? You look ill.,???? ?????.,zen mó le?  ni lian sè bù hao.
Would you like some blackberry jam?,????????,xiang yào dian hei méi jiàng ma?
Jumbo shrimp; a jumbo jet.,??;???????,dà xia; jù xíng pèn qì shì fei ji
Hatred often springs from fear.,????????.,chóu hèn cháng cháng yuán yu kong jù.
Would you please give me a piece of paper?,????????,néng ji wo yi zhang zhi ma?
What were you alluding to just now?,?????????,ni gang cái zhi de shì shén me?
He was buried in meditation.,?????????,ta chén nì yú chén si míng xiang?
What is the altitude of this village?,?????????,zhè gè cun zi hai bá duo shao?
A wheel revolves round/on its axis.,????????.,lún zi shì rào zhú xuán zhuan de.
I can't get the lid on/off.,????[???]??.,wo ge bù shàng[ qu bù xià] gài zi.
A wheel revolves round/on its axis.,????????.,lún zi shì rào zhú xuán zhuan de.
Do not you love that pavilion?,??????????,ni bù xi huan nà zuò tíng zi ma?
Her eyes lit up with joy.,?????????.,ta yin xi yuè ér mù guang jiong jiong.
I don't want any interference from you!,????????!,wo yòng bù? ni lái gan shè!
Did he clean the room yesterday?,?????????,ta zuó tian da sao fáng jian ma?
Mary beat time to the music.,??????????,Ma lì huò zhuó yuè qu da pai zi?
I'm aching all over after the match.,????????.,bi sài? wo hún shen téng tòng.
Stop farting around and behave yourself!,"???, ????!","biè hú lái,  fàng gui ju dian!"
How many people are in your party?,?????????,ni men yi xíng you duo shao rén?
Ignorance of the law is no excuse.,?????????,bù dong fa lu:4 bú shì jiè kou?
Hatred often springs from fear.,????????.,chóu hèn cháng cháng yuán yu kong jù.
When does the new system become effective?,????????,xin zhì dù hé shí sheng xiào?
He slammed the lid down.,??????????.,ta peng de yi sheng ge shàng le gài zi.
Do you like being stared at?,???????????,ni yuàn yì rén jia ding? ni kàn ma?
A fit of dizziness came over her.,?????????.,ta gan dào yi zhèn tóu yun mù xuàn.
There are a lot of worms in the soil.,????????.,ní tu zhòng you xu duo rú chóng.
The axis of a circle is its diameter.,????????.,yuán de zhú xiàn shì qí zhí jìng.
How should we style her?,???????????,wo men ying gai zen yàng cheng hu ta ne?
Is this bracelet genuine gold?,??????????,zhè gè shou zhuó shì chún jin de ma?
Brace yourself for a shock!,????,????!,zhèn zuò qi lai, miàn duì chong ji!
Did you get my postcard?,???????????,ni shou dào wo de míng xìn piàn le ma?
I'm hoping to visit Europe.,??????????,wo zhèng pàn wàng qù fang wèn ou zhou?
A general ranks a captain.,??????????,jiang jun de jí bié bì shàng wèi gao?
The stables swarmed with flies.,?????????.,ma jiù li dào chù dou shì cang ying.
Don't you dare try and get out of the washing-up!,???????!,ni gan táo bì xi wan dié!
Having plenty of money; prosperous.,??????;???,you zú gòu de qián de; fù yù de
Are you willing to accept responsibility?,?????????,ni yuàn yì chéng dan zé rèn ma?
Fish take in oxygen through their gills.,????????.,yú tong guò sai shè qu yang qì.
What if he comes back now?,???????????,rú guo ta xiàn zài huí lai zen me bàn?
"Bon voyage, Mr.Jones.",????,?????,qióng si xian sheng, yi lù shùn feng?
A fit of dizziness came over her.,?????????.,ta gan dào yi zhèn tóu yun mù xuàn.
The new boss is a mean sod!,??????????!,xin lái de shàng si shì gè dà huài dàn!
Highly pleased; elated.,?????;?????,yáng yáng dé yì de; xìng gao cài liè de
Leave the dried beans to soak overnight.,?????????.,ba zhè xie qián dòu zi pào yi yè.
What are your earnings after tax?,??????????,ni shuì hòu de gong zi shì duo shao?
Greece is located in the south of Europe.,?????????,xi là wèi yú ou zhou nán bù?
"Now, men are enlisting for the air force.",????????,xiàn zhèng zài zhao mù kong jun?
Misfortune tests the sincerity of friends.,?????????,? yàn? huàn nàn zhì zhi jiao?
He has a touch of madness in his composition.,????????,ta you dian feng feng dian dian?
That last remark was a hit at me.,??????????.,zuì? de huà shì duì wo de fèng cì.
The bird cocked its head to/on one side.,?????[?]??.,niao ba tóu xié xiàng[ dào] yi zhai.
Do you observe Christmas?,???????????,ni you guò Shèng dàn jié de xí sú ma?
You seem very chirpy today!,??????????!,jin tian ni hao xiàng hen kuài huó sì de!
It was a fine day once the mist had cleared.,????????.,wù xiao sàn? shì gè qíng tian.
"This mountain is 1,400 meters above sea level.","?????1,400??","zhè zuò shan hai bá1,400 mi?"
Leave the dried beans to soak overnight.,?????????.,ba zhè xie qián dòu zi pào yi yè.
He is a greedy capitalist.,???????????,ta shì yi gè tan lán de zi ben jia?
Do you grasp the point of what I said?,??????????,ni ling huì wo shuo de yì si ma?
What an unlucky train of events!,??????????!,duo me bù xìng de yi lián chuàn shì jiàn!
Are there two pictures on the wall?,?????????,qiáng shàng you liang zhang tú huà ma?
Do you wish me to serve dinner now?,??????????,nín xiang ràng wo xiàn zài kai fàn ma?
Mind you don't cut your fingers off!,?????????!,xiao xin biè qie duàn le shou zhi tou!
Wood often swells when wet.,??????????.,mù cái cháo shi? wang wang kuài péng zhàng.
How much is a jar of peanut butter?,?????????,yi píng hua sheng jiàng duo shao qián?
We are scornful of the forces of convention.,?????????,wo men miao shì xí guàn shì li?
A wide road; a wide necktie.,?????;?????,kuan kuò de dào lù; kuan dà de ling dài
She cleaned the dirt from her finger-nails.,?????????.,ta zòng zhi jia li ti diào wu gòu.
England lost to Australia.,????????????,ying gé lán duì fù yú ào dà lì yà duì?
Full of news; informative.,?????;?????,chong man xìn xi de; nèi róng chong shí de
He scoured off the dirt from the floor.,??????????,ta ca qù dì ban shàng de wu gòu?
Would you please spell your last name?,???????????,qing ni pin yi xià ni de xìng hào ma?
The dregs have settled at the bottom of the bottle.,????????.,zha zi dou chén dào píng di le.
How many hours' sleep do you need?,???????????,ni xu yào ji ge xiao shí de shuì mián?
Aluminum foil can be used for wrapping food.,?????????,lu:3 bó yòng yú bao zhuang shí wù?
She used a chisel to prise off the lid.,??????????.,ta yòng zàn zi lái ba gài zi zuò kai.
Feeling repugnance or loathing.,?????,?????,gan dào yàn wù de, gan dào zeng hèn de
The party was postponed until 8 o'clock.,?????8????,wan huì tui chí dào8 dian ju xíng?
"You look simply divine, darling!","???????, ???!","ni jian zhí dòng rén jí le,  qin ài de!"
Lemons are rich in vitamin C.,?????????C?,níng méng hán feng fù de wéi sheng sùC?
The water deepened after the dam was built.,?????????.,di bà jiàn chéng? shui yi jia shen.
The river overflowed (its banks).,????(????)?.,hé shui fàn làn( yì guò di àn) le.
Your theory is pure conjecture.,???????????.,ni de li lùn chún cuì shì zhu guan yì cè.
Educated; polished; refined.,????;???;???,you jiào yang de; wén ya de; jing liàn de
The thieves were caught in a police trap.,?????????.,qiè zéi zao jing fang yòng jì qín huò.
Mosquitoes are carriers of malaria.,??????????.,wén zi shì nu:è jí de chuán bo méi jiè.
My feet can hardly reach the pedals.,???????????.,wo de jué zen mó ye gòu bù? tà ban.
He missed four meals in succession.,???4???????,ta yi liá4n dùn méi you jí shàng fàn?
What functions can this program perform?,??????????,zhè yi chéng xù you na xie gong néng?
Which brand of toothpaste do you prefer?,???????????,ni ài yòng shí mó pái zi de yá gao?
Which brand of toothpaste do you prefer?,???????????,ni ài yòng shí mó pái zi de yá gao?
The sepals under the flower wilted.,???????????,hua duo xià mian de è piàn ku wei le?
Whither the pound sterling?,???????????,ying bàng de qián tú ke néng kuài zen yàng?
Some colours reproduce well/badly.,?????????[?].,you de yán sè fù zhì xiào guo hào[ ci].
A prosthesis was fitted after the amputation.,?????????.,jié zhi zhi? an zhuang le yì zhi.
Can I take your measurements?,????????????,wo ke yi liàng yi xià nín de chi cun ma?
He is in a bad way after treatment.,??????????,jing guò zhì liáo ta shàng wèi quán yù?
Oranges are rich in vitamin C.,??????????C.,chéng zi hán you feng fù de wéi sheng sùC.
Who discovered the conservation of energy?,?????????,shéi fa xiàn le néng liàng shou héng?
"A row, line, series, or range.",???????????,háng liè xìng? liè? xì liè huò háng liè
The net weight of this jar of coffee is 180 grams.,??????180??,zhè píng ka fei jìng zhò1ng80 kè?
Cheese is a solid; milk is a liquid.,?????,?????,qián lào shì gù ti, nai shì yè ti?
Danger: rotating blades.,"??: ????, ????.","wei xian:  yè piàn xuán zhuan,  zhù yì an quán."
The olive branch is the emblem of peace.,??????????,gan lan zhi shì hé píng de xiàng zheng?
Gentle persuasion is more effective than force.,?????????.,wen hé de shuo fú shèng yu yà fú.
Do you know the purpose of this urn?,???????????,ni zhi dào zhè gè wèng de yòng tú ma?
The maple leaf is the emblem of Canada.,??????????,feng yè shì jia ná dà de xiàng zheng?
Be there a restaurant car on the train?,??????????,zhè liè huo che shàng you can che ma?
"`Don't you agree?' `Oh, absolutely!'","‘?????’‘?, ??!’","‘ ni tóng yì ba?’‘ o,  dang rán!’"
A good diet conduces to good health.,??????????.,liáng hao de yin shí you yì yu jiàn kang.
The prisoner was fastened by a shackle.,??????????,nèi gè fàn rén bèi shou kào kào zhuó?
May God deliver us from evil.,???????????.,yuàn shàng dì zheng jiù wo men tuo lí zuì è.
This computer has a 256K memory.,?????????256K?,zhè tái jì suàn ji de nèi cún shì256K?
What did John do on New Year's Day?,???????????,Yue hàn zài yuán dàn zuò le shén me shì?
The crops failed because of drought.,"????, ?????.","yóu yu qián hàn,  nóng zuò wù qiàn shou."
The symptoms manifested themselves ten days later.,????????.,shí tian? chu xiàn le zhèng zhuàng.
Radium and uranium are radioactive elements.,?????????.,léi huò yóu shì fàng shè xìng yuán sù.
Do you agree to the wave theory of light?,???????????,ni tóng yì guang de bo dòng li lùn ma?
I detest all affectation.,????????????.,wo yàn wù yi qiè jiao róu zào zuò de xíng wéi.
The crowd linked arms to form a barrier.,??????????.,qún zhòng bì wan? bì zu chéng rén qiáng.
The cheese was emitting a strong smell.,???????????,gan lào sàn fa chu qiáng liè de qì wèi?
Where's my navy (blue) suit?,?????????????,wo nà tào hai jun lán de xi zhuang zài na r?
"I've got a sore throat,' he wheezed.","`????,'?????.","` wo sang zi téng,' ta chi lì de shuo."
The soil is enriched with nitrates.,???????????,tu rang li shi le xiao suan yán féi liào?
Hot steel is quenched to harden it.,???????????,shao rè de gang cuì huo shi ta jian yìng?
The plans were finally put into execution.,??????????.,zhè xie jì huà zhong yu dé yi shí shi.
Will you help me take the curtains down?,????????????,ni néng bang wo ba lián mù qu xia lai ma?
Gazelles can move with astonishing velocity.,??????????,líng yáng pao qi lai sù dù jing rén?
Could you spell that word out for me again?,???????????,nèi gè zì ni zài pin yi biàn hào ma?
Held in bondage; enslaved.,????????;????,bèi shù fù de shòu nú yì de; bèi zheng fú de
Not pure or clean; contaminated.,????????;???,bù chún jié huò bù gan jìng de; wu ran de
A rolling stone gathers no moss.,?????;??????,gun shí bù sheng tái; zhuàn yè bù jù cái?
This is what comes of being over-confident.,??????????.,zhè jiù shì guò yu zì xìn de jié guo.
She has written a book on (the) dance.,???????????.,ta xie le yi ben guan yu wu dao de shu.
It is how laughable to this name of dog!,??????????!,ji gou qi zhè gè míng zi duo ke xiào!
Her Aunt Effie is certainly an original.,???????????.,ta de yí ma ai fei zhen shì gè guài rén.
The lane was rutted with tyre tracks.,???????????.,zhè xiao xiàng you ju tai yà chu de ao hén.
There are rows of tents at the foot of the mountain.,?????????,shan jiao xià you ji pai zhàng peng?
A fall of such water; a rainstorm.,????????;??,zhòu yu zhè zhong shui de xià jiàng; bào yu
She swung the rucksack (up) onto her back.,??????????.,ta ba fán bù bei bao zhuàn dào shen?.
The rumba is a Latin-American dance.,???????????.,lún ba wu shì La ding mei zhou de wu dao.
This express way was built in 1985.,????????1985??,zhè tiáo gao sù gong lù jiàn yú1985 nián?
Who was (the) emcee of the show last night?,???????????,shéi shì zuó wan jié mù de zhu chí rén?
Can you measure accurately with this ruler?,???????????,yòng zhè ba chi zi néng liàng de zhun ma?
His new book will be appearing in the spring.,??????????.,ta de xin? jiàng yu chun jì wèn shì.
A line of darker water beyond the reef.,??????????,jiao shí wài shen shai shui yù fèn jiè xiàn
"Sharp, spasmodic pains in the bowels.",??????????,cháng jiao tòng cháng nèi jìng luán xìng jù tòng
Somebody'slurking in the bushes.,???????????.,you rén zài guàn mù cóng li kui shì dòng jìng.
She feels (she's been) rather hard done by.,???(??)????.,ta jué de( zì ji) you dian wei qu.
The river twines through the valley.,???????????,zhè tiáo hé liú wan yán chuan guò shan gu?
The paper has wrinkled where it got wet.,???????????.,zhè zhang zhi shi de dì fang qi zhòu zhe le.
Can you change a five-pound note?,????????????,ni néng huàn kai wu ying bàng de piào zi ma?
Frogs and newts are amphibians.,???????????.,qing wa huò róng yuán dou shì liang qi dòng wù.
Tadpoles are the infancy form of frogs.,???????????,ke dou shì qing wa de yòu nián xíng tài?
Get a load of that old bloke with the funny hat!,??????????!,ni qiáo nà dài guài mào zi de jia huo!
The head of state was deposed by the army.,???????????,guó jia yuán shou bèi jun duì fèi chù le?
He is repentant of his folly.,?????????????,ta duì zì ji de yú chun xíng wéi ér ào nao?
What's the set-up (like) in your company?,????????????,ni men gong si de ji gòu shì zen yàng de?
I'd rather go hungry than eat that!,????????????!,wo nìng ke ái è ye bù jí nà zhòng dong xi!
The duke wrote a letter with a quill pen.,???????????,gong jué yòng yi gen yu máo bi xie xìn?
He is a man of subtle and refined sensibility.,???????????,ta shì gè gan qíng xì nì de nán zi?
Better to wear out than rust out.,???????,?????,? yàn? yu qí xiù huài, bù rú yòng huài?
We met (each other) quite by chance.,??(??)??????.,wo men( bi ci) xiang yù chún shu ou rán.
The bolt sheared (off) and the wheel came off.,"????, ??????.","luó shuan zhé le,  lún zi tuo le chu lai."
The head of state was deposed by the army.,???????????,guó jia yuán shou bèi lù jun fèi chù le?
Michelangelo carved in marble.,????????????.,mi kai lang qí luó zài dà li shí shàng diao kè.
Be it possible to stop over at beirut?,????????????,ke yi zhong tú zài bèi lu tè tíng liú ma?
They exchanged a final kiss before parting.,???????????.,ta men zuì? xiang hù qin wen ér fen lí.
The doors of the palace were made of beaten gold.,??????????,gong diàn de mén yóu jin bó zuò chéng?
The Normans conquered England in 1066.,????1066??????.,nuò màn rén yu1066 nián zheng fú le Ying guó.
Her prose is far too mannered and self-conscious.,??????????.,ta de san wén guò yu jiao róu zào zuò.
Have you received our remittance?,????????????,ni fang shì fou yi shou dào wo fang huì kuan?
These criminals are the dregs of society.,????????????,zhè xie zuì fàn dou shì shè huì de zha zi?
Little drops of water make the mighty ocean.,???????????,? yàn? juan di zhi shui huì chéng yáng?
Does this train go right through to London?,???????????,zhè liè huo che shì fou zhí dá lún dun?
Is/Are porridge oats on the breakfast menu?,????????????,zao can de shí pu shàng you yàn mài zhou ma?
She came into a fortune when her uncle died.,???????????.,ta shu shu si? ta jí chéng le cái chan.
Can you document these claims?,?????????????,ni néng wèi zhè xie yao qiú tí gong zhèng jiàn ma?
Mary is not eligible for an award.,????????????.,Ma lì méi you shen qing zhù xué jin de zi gé.
Milk bottle tops are made of tin foil.,????????????,niú nai píng ge shì yòng xí bó zhì chéng de?
We have a precipitous climb to the peak.,???????????,wo men xiàng zhuó dou qiào shan ding pan deng?
His obstinacy drives me mad!,?????????????!,ta wán gù bù huà ba wo qì de huo mào san zhàng!
Are we the puppets of fate?,??????????????,wo men shì tìng rèn mìng yùn bai bù de kui lei ma?
The ground was pitted by the heavy rain.,????????????,dà yu shi chang dì biàn de keng keng wa wa?
What is the book you are poring over this afternoon?,???????????,jin tian xià wu ni dú de shén me shu?
The prison gate clanged shut.,?????????????,jian yù de dà mén? dàng yi sheng guan shàng le?
The child has eaten three platefuls of porridge!,???????????!,zhè hái zi yi jing hè le san pán zhou le!
Her illness had left her looking pale and thin.,???????? ??.,ta bìng? xian de cang bái?  qing shòu.
When is the expiration of your driving license?,???????????,ni de jià shi zhí zhào hé shí dào qi?
He was embarrassed by many debts.,?????????????,ta bèi hen duo zhài wù nòng de jiao zhuó bù an?
The cuckoo lays its eggs in other birds' nests.,??????????.,dù juan zài bié de niao cháo zhong chan luan.
Be there any blood or mucus in your stool?,????????????,ni de dà biàn li you xuè huò zhan yè ma?
He ran like fury to catch the bus.,????????????.,ta pin mìng ben pao qù zhui gan gong gòng qì che.
Where will I find brave men to guard the four corners of my land?,?????????,an de meng shì xi shou sì fang?
We're into a whole new ball game.,????????????.,wo men zhèng chù yu yi zhòng quán xin de jú miàn.
Who are you going to pick for the team?,????????????,ni da suàn tiao xuan shéi can jia zhè gè duì?
The hot water shrank my pullover.,?????????????.,wo de tào tou máo yi yù rè shui? shou suo le.
They feasted their guests with delicacies.,???????????.,ta men yòng mei wèi jia yáo kuan dài kè ren.
Flames jetted out (of the nozzles).,??(????)????.,huo yán( zòng pèn zui zhòng) pèn chu lái le.
You look ghastly; are you all right?,"??????, ???????","ni lian sè hen nán kàn,  shì bù shu fu le ma?"
The tennis umpire wore an eye-shade.,????????????,nà wang qiú cái pàn dài? zhe guang mào yán?
A strong to vivid red.,?????????????,yan zhi hóng yi zhòng qiáng liè dào xian míng de hóng sè
The comic scenes in the play were overdone.,???????????.,zhè jù de huá ji chang miàn tài kua zhang le.
Hedges have eyes and walls have ears.,???????,?????,? yàn? lí ba you yan, qiáng bì zhang er?
Such a strict law is not easily enforceable.,???????????.,zhè yàng yán jùn de fa lìng bú yì shí shi.
Pretending to faint was merely (an) artifice.,???????????.,jia zhuang hun mí zhi bù guò shì gè gui jì.
Our stock of food is greatly depleted.,????????????.,wo men de shí wù chu bèi yi xiao hào dài jìn.
The prince remained loyal throughout.,???????????,wáng zi zì shi zhì zhong zhong zhen bù yú?
I am broiling in this hot sun!,?????????????!,zhè rè là là de tài yáng kuài ba wo kao jiao le!
The statue was carved (out of stone).,????(???)???.,zhè zuò xiàng shì( yòng shí tou) diao kè de.
One of hostesses on tonight's show is Mary.,????????????,jin wan de nu:3 zhu chí zhi yi shì Ma lì?
The Queen disrobed after the ceremony.,????????????.,nu:3 wáng zài yí shì guò? tuo qù le wáng páo.
Is this reference book of any use to me?,????????????,zhè ben can kao shu duì wo you yòng chù ma?
Gazelles can movewith astonishing velocity.,???????????.,líng yáng pao qi lai you shí sù dù jing rén.
"As for you, you ought to be ashamed of yourself.","???, ???????.","zhì yu ni,  ni ying gai gan dào cán kuì."
The bombs razed the building to the ground.,????????????,zhà dàn ba nà zuò jiàn zhù yí wèi píng dì?
The farmers are out harvesting (the corn).,????????(??).,nóng mín men zài de li shou ge( zuò wù).
Is a large head indicative of high intelligence?,???????????,tou dà shì bú shì biao shì zhì huì gao?
The model plane got out of control and crashed.,???????????,mó xíng fei ji shi kòng zhuì luò xia lai?
He ran like fury to catch the bus.,????????????.,ta pin mìng ben pao qù zhui gan gong gòng qì che.
They cuddled up (together) under the blanket.,??????(???)??.,ta men ge? tan zi( zài yi qi) lou?.
What's the speed of the film you're using?,????????????,ni yòng de jiao juan gan guang dù shì duo shao?
Don't digress (from the subject) when lecturing.,???????(??).,jiang kè shí bù yào chà kai( zhu tí).
Should a soldier value honour above life?,????????????,jun rén yìng shì róng yù zhòng yu sheng mìng ma?
He's a tramp and used to living rough.,?????,???????,ta shì liú làng hàn, guàn yu feng can yu wò?
This dish of parsnip tastes strange.,?????????????,zhè pán ou fáng feng zuò de cài wèi dao hen guài?
Having the form of a bow; curved.,??????????;???,gong xíng de jù you gong de xíng shì de; wan qu de
I had a browse through the books on the shelf.,????????????,wo liú lan le yi biàn shu jià shàng de shu?
Cheers greeted the arrival of the Queen.,???????????.,yi piàn huan hu sheng huan yíng nu:3 wáng lì lín.
The child cuddled her doll (to her chest).,???(??)??????.,nà hái zi( huái li) bào? wán jù wá wa.
Belgium has been called the cockpit of Europe.,???????????,bi lì shí bèi chèng zuò ou zhou zhàn chang?
The villagers shored up sagging huts.,?????????????,cun mín men cheng qi yáo yáo yù zhuì de máo péng?
The water slowly emptied (from the cistern).,?(????)????.,shui( zòng zhù shui chí) huan huan liú chu.
He's had some bad news: his father has died suddenly.,?????: ??????.,ta de xi è hào:  fù qin tu rán qù shì.
I'd like some shrimp-roe soy sauce with it.,????????????,wo xi wàng yòng xie xia zi jiàng zhàn zhuó jí?
Can you put an end to that kind of gossip?,????????????,ni néng bù néng biè zài shuo nà zhòng xián huà?
"We bought some books, clothes, etc.",??????????????,wo men mai le yi xie shu jí? yi fu deng deng?
The children were scampering around the garden.,????????????,hái zi men zài hua yuán li xi xì ben pao?
It was very hard luck (on you) to get ill on your holiday.,(?)???????.,( ni) jià qi dé bìng zhen dao méi.
By perseverance the lame boy learned to swim.,????????????,kào yì lì zhè bo tóng xué huì le yóu yong?
I can smell gas -- is the oven on?,???????--???????,wo wén dào méi qì wèi le-- kao xiang kai? ne ba?
Can you make out what that sign says?,??????????????,ni kàn de xiàn pái zi shàng xie de shì shí mó ma?
Many politicians are cunning sophists.,????????????.,xu duo zhèng kè dou shì jiao huá de gui biàn jia.
Is there a right of way across these fields?,????????????,rén men you quán tong guò zhè xie tián dì ma?
Is it cruel to confine a bird in a cage?,?????????????,ba niao guan zài lóng zi li cán ren bù cán ren?
Is the film in colour or black and white?,?????????????,zhè jiao juan shì cai sè de hái shì hei bái de?
I know nothing about computer hardware.,????????????,wo duì jì suàn ji yìng jiàn yi qiào bù tong?
He said how glorious the sunset was.,?????????????,ta shuo rì luò shì duo mó de hui huáng càn làn?
They are the products of post-war affluence.,????????????.,ta men shì zhàn? fù yù sheng huó de chan wù.
What prompted him to be so generous?,?????????? ????,shì shí mó yuán yin shi de ta rú ci  dà fang ne?
They are the products of post-war affluence.,????????????.,ta men shì zhàn? fù yù sheng huó de chan wù.
The level of inflation has gone beyond 8%.,??????????8%?,tong huò péng zhàng shuài yi jing chao guò le8%?
They lit a fire to keep wild animals off.,????????????.,ta men rán qi gou huo fáng zhi ye shòu jie jìn.
Will Spurs be relegated to the third division?,?????????????,si pò er si duì kuài xiáng wèi bing jí duì ma?
"Oh, Lord, are you going to get on my back?",?,??,?????,???,yo, dà ren, ni xiang zhao wo chá, shì ma?
